business_id,avg_rating,no_of_words,no_of_reviews,unique_no_of_food_entities,no_of_food_entities
OlpyplEJ_c_hFxyand_Wxw,3.5,6285,59,198,1017
_qvxFHGbnbrAPeWBVifJEQ,4.0,1373,18,98,226
s5yzZITWU_RcJzWOgjFecw,4.0,10777,73,335,1834
VZYMInkjRJVHwXVFqeoMWg,3.5,665,4,30,87
FFdlPSZCGgTdg1CAfrlvlw,3.5,3300,33,153,487
DB5rZ9spvyhBJsqOwckncw,4.0,1812,15,160,379
gq7u9uyOkpLCeh_lxR-WFw,3.5,11748,89,440,2179
nZww1gdBAi9HtRKiQHL2qA,3.0,4716,30,232,1006
MJtnKhA3l-2ZFzhneuSccw,4.0,1113,9,93,227
3m7khDnqH9QOg8gu3Ymumw,3.0,1540,6,73,215
5TBOg9Rf47SECB8gTNGqeQ,3.5,6002,57,235,1187
tX13cBUrvD5B565_XhlFNQ,2.5,247,3,17,31
j9wGRZESnopncpVQKQx9ww,3.5,325,3,28,43
w-RzHsvV05yT2K-JC8DJUA,3.5,1302,12,99,266
ZlvVCqFKTMK4rBkTQzVBpA,3.5,2960,27,125,553
oaeLklvhUU0U1z2Ekmf59A,4.0,743,6,102,162
FBzPxHL9tJYGw0uckrv3vg,3.5,817,2,37,80
e2wph-eQnzFeVb4X-Ewisw,4.0,1245,17,127,264
EPE3OL8nOMQF-TaKo5H1hw,3.0,1135,6,73,162
_cxnSeFM0G5AdvCpJjTb0g,3.5,865,7,80,150
0QUjIl8sGZsA0L1JCqVAgA,3.5,8713,82,368,1481
Az_IY3TgnOcnh1dXd7GZLg,4.0,18093,86,553,3384
R2ir0q71ZgVdi4HJp6n2dw,3.5,3835,15,206,642
ASFRtzeC7E-tPGebfvZE2A,4.5,1258,7,63,127
n0OIZOmu5rOWSJ0-l4b6mw,2.5,3549,24,193,616
zG_wv69bsllw_PWhOmoAKQ,4.5,24495,169,754,4975
a2_T-Zw2FK-r9anByMaE_w,3.0,596,8,70,136
5nrEG6lFlKfr-OluekbsTw,4.0,4473,58,211,750
uLzb0n7iYbaTZKeta1RDAw,3.5,1873,24,130,367
WuCcv_Dyd_1B_1-4jwK7sQ,3.5,16133,149,475,2554
rGvkljWlP7ysvLEUucoyqA,4.5,14681,153,477,2957
DYr8tAmbKmH9yHKzQ5nVMw,3.0,440,4,32,55
TuhXRiFkxBLIGcLhJ_-Sdw,4.5,505,6,24,87
cLojUtqkFpVIHFEvA_5Atw,3.5,56778,338,923,10270
_Bz6YWNI5bi0gqQI4GLvqQ,4.0,3261,34,185,651
XQCTg-QHsasTu6f19yaDmA,3.5,2505,29,139,478
COM6IM0lIfhMpcknjVi4CQ,4.5,1218,11,101,314
VudqspJ-zQIlYRBTANgdzQ,4.0,277,7,13,36
XGK7mKZJQtJa77Izhx6xyQ,4.0,736,5,47,131
ugc287HhOgVukLGZTaX-YQ,4.0,11136,105,387,2277
b9fEUyazo9wd4TZeDowAkA,2.0,271,5,18,47
zbjPg_vvxCWkFjeEvVpmnA,4.5,6633,72,256,1413
A1yl07aIgJSSHl6J9HZVBA,4.0,1282,8,106,238
